SchoolName,SizeSetting,Control,F20Enrollment
University of Colorado Denver/Anschutz Medical Campus,"Four-year, large, primarily nonresidential",Public,"24,723"
Full Sail University,"Four-year, large, primarily nonresidential",Private for-profit,"24,627"
University of Wisconsin-Milwaukee,"Four-year, large, primarily nonresidential",Public,"24,565"
Oklahoma State University-Main Campus,"Four-year, large, primarily residential",Public,"24,535"
Old Dominion University,"Four-year, large, primarily residential",Public,"24,286"
Boise State University,"Four-year, large, primarily nonresidential",Public,"24,069"
CUNY Hunter College,"Four-year, large, primarily nonresidential",Public,"24,052"
Portland State University,"Four-year, large, primarily nonresidential",Public,"23,640"
Cornell University,"Four-year, large, primarily residential",Private not-for-profit,"23,620"
University of Delaware,"Four-year, large, primarily residential",Public,"23,613"
Drexel University,"Four-year, large, primarily residential",Private not-for-profit,"23,589"
Missouri State University-Springfield,"Four-year, large, primarily nonresidential",Public,"23,505"
Grand Valley State University,"Four-year, large, primarily residential",Public,"23,350"
Long Beach City College,"Two-year, very large",Public,"23,147"
Des Moines Area Community College,"Two-year, very large",Public,"23,051"
Mississippi State University,"Four-year, large, primarily residential",Public,"22,986"
Northeastern University,"Four-year, large, highly residential",Private not-for-profit,"22,905"
Portland Community College,"Two-year, very large",Public,"22,904"
Northwestern University,"Four-year, large, primarily residential",Private not-for-profit,"22,603"
Suffolk County Community College,"Two-year, very large",Public,"22,570"
University of Alabama at Birmingham,"Four-year, large, primarily nonresidential",Public,"22,563"
CUNY Borough of Manhattan Community College,"Two-year, very large",Public,"22,496"
California Polytechnic State University-San Luis Obispo,"Four-year, large, primarily residential",Public,"22,440"
Florida State College at Jacksonville,"Four-year, large, primarily nonresidential",Public,"22,344"
University of New Mexico-Main Campus,"Four-year, large, primarily nonresidential",Public,"22,311"
Fresno City College,"Two-year, very large",Public,"22,278"
University of Louisville,"Four-year, large, primarily nonresidential",Public,"22,211"
University of Memphis,"Four-year, large, primarily nonresidential",Public,"22,205"
Middle Tennessee State University,"Four-year, large, primarily nonresidential",Public,"22,080"
Excelsior College,"Four-year, medium, primarily nonresidential",Private not-for-profit,"21,974"
DePaul University,"Four-year, large, primarily nonresidential",Private not-for-profit,"21,922"
Towson University,"Four-year, large, primarily residential",Public,"21,917"
Sam Houston State University,"Four-year, large, primarily nonresidential",Public,"21,912"
Wake Technical Community College,"Two-year, very large",Public,"21,760"
University of Oregon,"Four-year, large, primarily residential",Public,"21,752"
Ball State University,"Four-year, large, primarily residential",Public,"21,597"
James Madison University,"Four-year, large, primarily residential",Public,"21,594"
Fullerton College,"Two-year, very large",Public,"21,427"
Central New Mexico Community College,"Two-year, very large",Public,"21,398"
Syracuse University,"Four-year, large, highly residential",Private not-for-profit,"21,322"
Palomar College,"Two-year, very large",Public,"21,141"
University of Mississippi,"Four-year, large, primarily residential",Public,"21,014"
College of DuPage,"Two-year, very large",Public,"21,010"
Montclair State University,"Four-year, large, primarily residential",Public,"21,005"
Nova Southeastern University,"Four-year, large, primarily residential",Private not-for-profit,"20,888"
Kansas State University,"Four-year, large, primarily residential",Public,"20,854"
DeVry University-Illinois,"Four-year, large, primarily nonresidential",Private for-profit,"20,832"
University of Nevada-Reno,"Four-year, large, primarily nonresidential",Public,"20,722"
Illinois State University,"Four-year, large, primarily residential",Public,"20,720"
San Diego Mesa College,"Four-year, medium, primarily nonresidential",Public,"20,693"
College of the Canyons,"Two-year, very large",Public,"20,573"
El Camino Community College District,"Two-year, very large",Public,"20,418"
Cerritos College,"Two-year, very large",Public,"20,406"
Keiser University-Ft Lauderdale,"Four-year, large, primarily nonresidential",Private not-for-profit,"20,330"
St. John's University-New York,"Four-year, large, primarily residential",Private not-for-profit,"20,143"
Santa Ana College,"Four-year, medium, primarily nonresidential",Public,"20,118"
Riverside City College,"Two-year, very large",Public,"20,080"
Montgomery College,"Two-year, very large",Public,"20,037"
Sacramento City College,"Two-year, large",Public,"20,027"
Chaffey College,"Two-year, very large",Public,"20,025"
Appalachian State University,"Four-year, large, primarily residential",Public,"20,023"
Western Michigan University,"Four-year, large, primarily residential",Public,"19,887"
University of North Georgia,"Four-year, large, primarily nonresidential",Public,"19,793"
University of North Carolina at Greensboro,"Four-year, large, primarily residential",Public,"19,764"
CUNY Bernard M Baruch College,"Four-year, large, primarily nonresidential",Public,"19,740"
City College of San Francisco,"Two-year, very large",Public,"19,707"
CUNY Queens College,"Four-year, large, primarily nonresidential",Public,"19,700"
California State University-San Bernardino,"Four-year, large, primarily nonresidential",Public,"19,689"
Rowan University,"Four-year, large, primarily residential",Public,"19,678"
Hillsborough Community College,"Two-year, very large",Public,"19,532"
Georgetown University,"Four-year, large, highly residential",Private not-for-profit,"19,371"
Baylor University,"Four-year, large, primarily residential",Private not-for-profit,"19,297"
San Antonio College,"Two-year, large",Public,"19,231"
University of California-Santa Cruz,"Four-year, large, highly residential",Public,"19,161"
University of the Cumberlands,"Four-year, medium, primarily residential",Private not-for-profit,"19,110"
Metropolitan State University of Denver,"Four-year, large, primarily nonresidential",Public,"19,086"
Saddleback College,"Two-year, very large",Public,"18,984"
Miami University-Oxford,"Four-year, large, primarily residential",Public,"18,880"
Cuyahoga Community College District,"Two-year, large",Public,"18,754"
Front Range Community College,"Two-year, large",Public,"18,703"
Diablo Valley College,"Two-year, very large",Public,"18,693"
California State University-Dominguez Hills,"Four-year, large, primarily nonresidential",Public,"18,687"
Sinclair Community College,"Two-year, large",Public,"18,687"
De Anza College,"Two-year, very large",Public,"18,649"
Oakland University,"Four-year, large, primarily nonresidential",Public,"18,552"
Northwest Vista College,"Two-year, large",Public,"18,542"
Columbia Southern University,"Four-year, large, primarily nonresidential",Private for-profit,"18,533"
University of Toledo,"Four-year, large, primarily residential",Public,"18,319"
San Joaquin Delta College,"Two-year, very large",Public,"18,224"
Blinn College,"Two-year, very large",Public,"18,220"
University of Massachusetts-Lowell,"Four-year, large, primarily residential",Public,"18,150"
Binghamton University,"Four-year, large, primarily residential",Public,"18,148"
Bowling Green State University-Main Campus,"Four-year, large, primarily residential",Public,"18,142"
Orange Coast College,"Two-year, very large",Public,"18,125"
National University,"Four-year, large, primarily nonresidential",Private not-for-profit,"18,070"
University of Hawaii at Manoa,"Four-year, large, primarily residential",Public,"18,025"
University of North Carolina Wilmington,"Four-year, large, primarily residential",Public,"17,915"
University of Chicago,"Four-year, large, highly residential",Private not-for-profit,"17,834"
University of Miami,"Four-year, large, primarily residential",Private not-for-profit,"17,809"
CUNY Brooklyn College,"Four-year, large, primarily nonresidential",Public,"17,735"
West Chester University of Pennsylvania,"Four-year, large, primarily residential",Public,"17,719"
SUNY at Albany,"Four-year, large, highly residential",Public,"17,688"
University of Rhode Island,"Four-year, large, primarily residential",Public,"17,649"
Southwestern College,"Two-year, very large",Public,"17,621"
Community College of Baltimore County,"Two-year, large",Public,"17,573"
Los Angeles Pierce College,"Two-year, large",Public,"17,521"
Western Kentucky University,"Four-year, large, primarily residential",Public,"17,517"
Sierra College,"Two-year, very large",Public,"17,503"
Georgia State University-Perimeter College,"Two-year, very large",Public,"17,383"
Rio Salado College,"Two-year, large",Public,"17,362"
Central Michigan University,"Four-year, large, primarily residential",Public,"17,311"
CUNY LaGuardia Community College,"Two-year, very large",Public,"16,971"
Mesa Community College,"Two-year, large",Public,"16,948"
University of North Florida,"Four-year, large, primarily nonresidential",Public,"16,926"
Loyola University Chicago,"Four-year, large, primarily residential",Private not-for-profit,"16,893"
Northern Illinois University,"Four-year, large, primarily residential",Public,"16,769"
Tidewater Community College,"Two-year, large",Public,"16,769"
Santa Rosa Junior College,"Two-year, large",Public,"16,757"
California State University-Chico,"Four-year, large, primarily nonresidential",Public,"16,746"
Macomb Community College,"Two-year, large",Public,"16,736"
Central Piedmont Community College,"Two-year, large",Public,"16,668"
Lamar University,"Four-year, medium, primarily residential",Public,"16,637"
Troy University,"Four-year, large, primarily nonresidential",Public,"16,497"
University of Louisiana at Lafayette,"Four-year, large, primarily residential",Public,"16,450"
Texas Woman's University,"Four-year, large, primarily nonresidential",Public,"16,433"
California State University-San Marcos,"Four-year, large, primarily nonresidential",Public,"16,367"
Modesto Junior College,"Four-year, medium, primarily nonresidential",Public,"16,365"
Fordham University,"Four-year, large, highly residential",Private not-for-profit,"16,364"
Seminole State College of Florida,"Four-year, medium, primarily nonresidential",Public,"16,298"
Eastern Michigan University,"Four-year, large, primarily residential",Public,"16,294"
University of Massachusetts-Boston,"Four-year, large, primarily nonresidential",Public,"16,259"
California State University-East Bay,"Four-year, large, primarily nonresidential",Public,"16,253"
Montana State University,"Four-year, large, primarily residential",Public,"16,218"
Northern Kentucky University,"Four-year, large, primarily nonresidential",Public,"16,211"
Duke University,"Four-year, large, highly residential",Private not-for-profit,"16,172"
Rochester Institute of Technology,"Four-year, large, highly residential",Private not-for-profit,"16,158"
University of Missouri-Kansas City,"Four-year, medium, primarily nonresidential",Public,"16,147"
University of Akron Main Campus,"Four-year, large, primarily nonresidential",Public,"16,094"
Vincennes University,"Four-year, medium, primarily residential",Public,"16,048"
Los Angeles Valley College,"Two-year, large",Public,"15,957"
Stanford University,"Four-year, large, highly residential",Private not-for-profit,"15,953"
University of Nebraska at Omaha,"Four-year, large, primarily nonresidential",Public,"15,892"
CUNY John Jay College of Criminal Justice,"Four-year, large, primarily nonresidential",Public,"15,766"
Rio Hondo College,"Four-year, medium, primarily nonresidential",Public,"15,692"
Tulsa Community College,"Two-year, large",Public,"15,568"
Pima Community College,"Two-year, large",Public,"15,544"
CUNY New York City College of Technology,"Four-year, large, primarily nonresidential",Public,"15,513"
Washington University in St Louis,"Four-year, large, highly residential",Private not-for-profit,"15,449"
Grossmont College,"Two-year, large",Public,"15,426"
American InterContinental University,"Four-year, large, primarily nonresidential",Private for-profit,"15,415"
Harrisburg Area Community College,"Two-year, large",Public,"15,376"
Florida Gulf Coast University,"Four-year, large, primarily residential",Public,"15,358"
Cypress College,"Four-year, medium, primarily nonresidential",Public,"15,325"
University of Wisconsin-Oshkosh,"Four-year, medium, primarily residential",Public,"15,314"
Cleveland State University,"Four-year, large, primarily nonresidential",Public,"15,247"
University of Houston-Downtown,"Four-year, medium, primarily nonresidential",Public,"15,239"
Indian River State College,"Four-year, medium, primarily nonresidential",Public,"15,236"
CUNY City College,"Four-year, large, primarily nonresidential",Public,"15,227"
Saint Louis Community College,"Two-year, large",Public,"15,206"
Western Washington University,"Four-year, large, primarily residential",Public,"15,197"
Florida SouthWestern State College,"Four-year, medium, primarily nonresidential",Public,"15,141"
CUNY Kingsborough Community College,"Two-year, large",Public,"15,116"
CUNY Lehman College,"Four-year, large, primarily nonresidential",Public,"15,091"
Long Island University,"Four-year, medium, primarily residential",Private not-for-profit,"15,066"
Fort Hays State University,"Four-year, medium, primarily nonresidential",Public,"15,033"
Wichita State University,"Four-year, large, primarily nonresidential",Public,"14,999"
Boston College,"Four-year, large, highly residential",Private not-for-profit,"14,934"
San Diego City College,"Two-year, large",Public,"14,865"
Los Angeles City College,"Two-year, large",Public,"14,800"
Wilmington University,"Four-year, medium, primarily nonresidential",Private not-for-profit,"14,769"
Minnesota State University-Mankato,"Four-year, large, primarily nonresidential",Public,"14,761"
Cosumnes River College,"Two-year, large",Public,"14,667"
University of Southern Mississippi,"Four-year, large, primarily residential",Public,"14,606"
Foothill College,"Four-year, medium, primarily nonresidential",Public,"14,605"
Oakland Community College,"Two-year, large",Public,"14,511"
Eastern Kentucky University,"Four-year, large, primarily residential",Public,"14,465"
Southeastern Louisiana University,"Four-year, large, primarily nonresidential",Public,"14,426"
Glendale Community College,"Two-year, large",Public,"14,374"
Moorpark College,"Two-year, large",Public,"14,361"
ECPI University,"Four-year, large, primarily nonresidential",Private for-profit,"14,353"
University of New Hampshire-Main Campus,"Four-year, large, highly residential",Public,"14,348"
Savannah College of Art and Design,"Four-year, large, primarily residential",Private not-for-profit,"14,265"
New Mexico State University-Main Campus,"Four-year, large, primarily residential",Public,"14,227"
University of South Alabama,"Four-year, large, primarily residential",Public,"14,224"
University of Central Oklahoma,"Four-year, large, primarily nonresidential",Public,"14,132"
Kean University,"Four-year, large, primarily nonresidential",Public,"14,064"
Tarleton State University,"Four-year, large, primarily residential",Public,"14,016"
American University,"Four-year, large, highly residential",Private not-for-profit,"14,001"
Emory University,"Four-year, large, highly residential",Private not-for-profit,"13,997"
Mt San Jacinto Community College District,"Two-year, large",Public,"13,988"
Eastern Florida State College,"Four-year, medium, primarily nonresidential",Public,"13,937"
Tulane University of Louisiana,"Four-year, large, primarily residential",Private not-for-profit,"13,927"
Embry-Riddle Aeronautical University-Worldwide,"Four-year, medium, primarily nonresidential",Private not-for-profit,"13,904"
University of Puerto Rico-Rio Piedras,"Four-year, large, primarily nonresidential",Public,"13,892"
Johnson County Community College,"Two-year, large",Public,"13,891"
University of Missouri-St Louis,"Four-year, medium, primarily nonresidential",Public,"13,874"
Nassau Community College,"Two-year, large",Public,"13,864"
University of Denver,"Four-year, large, primarily residential",Private not-for-profit,"13,856"
Post University,"Four-year, medium, primarily nonresidential",Private for-profit,"13,844"
East Tennessee State University,"Four-year, large, primarily residential",Public,"13,713"
Community College of Rhode Island,"Two-year, large",Public,"13,684"
Community College of Philadelphia,"Two-year, large",Public,"13,672"
University of North Dakota,"Four-year, large, primarily residential",Public,"13,615"
Universidad Ana G. Mendez-Gurabo Campus,"Four-year, large, primarily nonresidential",Private not-for-profit,"13,553"
Vanderbilt University,"Four-year, large, highly residential",Private not-for-profit,"13,537"
Carnegie Mellon University,"Four-year, large, highly residential",Private not-for-profit,"13,519"
University of Maryland-Baltimore County,"Four-year, large, primarily residential",Public,"13,497"
University of West Georgia,"Four-year, medium, primarily residential",Public,"13,419"
San Diego Miramar College,"Two-year, large",Public,"13,408"
Chandler-Gilbert Community College,"Two-year, large",Public,"13,395"
University of Vermont,"Four-year, large, highly residential",Public,"13,292"
Delgado Community College,"Two-year, large",Public,"13,251"
Metropolitan Community College Area,"Two-year, large",Public,"13,244"
Rutgers University-Newark,"Four-year, large, primarily residential",Public,"13,231"
Community College of Allegheny County,"Two-year, large",Public,"13,217"
Arkansas State University,"Four-year, medium, primarily residential",Public,"13,106"
Metropolitan Community College-Kansas City,"Two-year, large",Public,"13,085"
The University of West Florida,"Four-year, medium, primarily nonresidential",Public,"13,061"
Bellevue University,"Four-year, large, primarily nonresidential",Private not-for-profit,"13,059"
Madison Area Technical College,"Two-year, large",Public,"13,057"
Glendale Community College,"Two-year, large",Public,"12,973"
Delaware Technical Community College-Terry,"Four-year, medium, primarily nonresidential",Public,"12,955"
Southern Illinois University-Edwardsville,"Four-year, large, primarily residential",Public,"12,860"
North Dakota State University-Main Campus,"Four-year, large, highly residential",Public,"12,846"
Pace University,"Four-year, large, primarily residential",Private not-for-profit,"12,835"
University of Puerto Rico-Mayaguez,"Four-year, large, primarily nonresidential",Public,"12,825"
University of Notre Dame,"Four-year, large, highly residential",Private not-for-profit,"12,809"
College of Staten Island CUNY,"Four-year, large, primarily nonresidential",Public,"12,797"
Campbellsville University,"Four-year, medium, highly residential",Private not-for-profit,"12,771"
North Carolina A & T State University,"Four-year, large, highly residential",Public,"12,753"
Daytona State College,"Four-year, medium, primarily nonresidential",Public,"12,728"
St Philip's College,"Two-year, large",Public,"12,696"
MiraCosta College,"Four-year, medium, primarily nonresidential",Public,"12,645"
Stephen F Austin State University,"Four-year, large, primarily residential",Public,"12,620"
Milwaukee Area Technical College,"Two-year, large",Public,"12,618"
Santa Fe College,"Four-year, medium, primarily nonresidential",Public,"12,607"
Southern Utah University,"Four-year, medium, primarily nonresidential",Public,"12,582"
Colorado State University-Global Campus,"Four-year, medium, primarily nonresidential",Public,"12,578"
College of the Sequoias,"Two-year, large",Public,"12,571"
Santa Barbara City College,"Two-year, large",Public,"12,525"
Pikes Peak Community College,"Four-year, medium, primarily nonresidential",Public,"12,506"
Northcentral University,"Four-year, medium, primarily nonresidential",Private not-for-profit,"12,471"
CUNY Queensborough Community College,"Two-year, large",Public,"12,405"
University of Colorado Colorado Springs,"Four-year, medium, primarily nonresidential",Public,"12,380"
Southern Methodist University,"Four-year, large, highly residential",Private not-for-profit,"12,373"
Eastern Washington University,"Four-year, medium, primarily residential",Public,"12,349"
Valdosta State University,"Four-year, medium, primarily residential",Public,"12,304"
Bellevue College,"Four-year, medium, primarily nonresidential",Public,"12,286"
Kirkwood Community College,"Two-year, large",Public,"12,277"
Texas A & M University-Commerce,"Four-year, medium, primarily residential",Public,"12,249"
Western Carolina University,"Four-year, large, primarily residential",Public,"12,243"
Saint Louis University,"Four-year, large, highly residential",Private not-for-profit,"12,229"
Oklahoma City Community College,"Two-year, large",Public,"12,227"
Tufts University,"Four-year, large, highly residential",Private not-for-profit,"12,219"
San Bernardino Valley College,"Two-year, large",Public,"12,206"
Irvine Valley College,"Two-year, large",Public,"12,199"
William Rainey Harper College,"Two-year, large",Public,"12,199"
Jefferson Community and Technical College,"Two-year, large",Public,"12,196"
Grand Rapids Community College,"Two-year, large",Public,"12,107"
Yale University,"Four-year, large, highly residential",Private not-for-profit,"12,060"
Antelope Valley College,"Four-year, medium, primarily nonresidential",Public,"12,057"
Dixie State University,"Four-year, medium, primarily nonresidential",Public,"12,043"
Arapahoe Community College,"Two-year, large",Public,"12,001"
University of Wisconsin-Whitewater,"Four-year, large, primarily residential",Public,"11,989"
Marshall University,"Four-year, medium, primarily residential",Public,"11,958"
