Name,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating,Story Focus,Gameplay Focus,Series
Ace Combat: Assault Horizon,2011.0,Action,Namco Bandai Games,0.3,0.12,0.03,0.04,0.49,78.0,71.0,6.2,82.0,Project Aces,T,,x,
Ace Combat: Assault Horizon Legacy,2011.0,Simulation,Namco Bandai Games,0.1,0.06,0.08,0.01,0.24,71.0,37.0,7.8,26.0,Project Aces,T,,x,
Ace Combat: Joint Assault,2010.0,Simulation,Namco Bandai Games,0.06,0.05,0.15,0.03,0.29,71.0,30.0,7.2,12.0,Project Aces,T,,x,
Ace Combat 04: Shattered Skies,2001.0,Simulation,Sony Computer Entertainment Europe,2.06,0.56,0.38,0.17,3.17,89.0,22.0,9.1,95.0,Namco,E,,x,
Ace Combat 2,1997.0,Simulation,Sony Computer Entertainment,0.16,0.11,0.56,0.06,0.89,83.0,10.0,8.2,22.0,Namco,T,,x,
Ace Combat 5: The Unsung War,2004.0,Simulation,Sony Computer Entertainment Europe,0.88,0.34,0.32,0.18,1.71,84.0,57.0,9.1,81.0,Namco,T,,x,
Ace Combat 6: Fires of Liberation,2007.0,Simulation,Atari,0.69,0.04,0.22,0.06,1.01,80.0,54.0,7.9,101.0,Project Aces,T,,x,
Ace Combat X: Skies of Deception,2006.0,Simulation,Namco Bandai Games,0.37,0.3,0.12,0.19,0.99,75.0,26.0,8.3,30.0,Project Aces,T,,x,
Ace Combat Zero: The Belkan War,2006.0,Simulation,Namco Bandai Games,0.15,0.12,0.2,0.04,0.51,75.0,45.0,8.4,55.0,Namco,T,,x,
Achtung Panzer: Kharkov 1943,2010.0,Strategy,Mamba Games,0.0,0.01,0.0,0.0,0.02,70.0,6.0,8.3,20.0,Paradox Interactive,N/A,,x,
Active Life: Outdoor Challenge,2008.0,Sports,Atari,0.78,0.43,0.19,0.14,1.54,69.0,6.0,8.1,14.0,h.a.n.d. Inc.,E,,x,
Activision Anthology,2002.0,Misc,Activision,0.25,0.19,0.0,0.06,0.5,75.0,13.0,7.7,6.0,Contraband Entertainment,E,,x,
Act of Aggression,2015.0,Strategy,Focus Home Interactive,0.0,0.01,0.0,0.0,0.01,71.0,37.0,7.1,93.0,Eugen Systems,N/A,,x,
Advance Wars,2001.0,Strategy,Nintendo,0.5,0.19,0.0,0.01,0.7,92.0,28.0,9.0,95.0,Intelligent Systems,E,,x,
Advance Wars: Dual Strike,2005.0,Strategy,Nintendo,0.3,0.02,0.04,0.03,0.39,90.0,49.0,9.0,163.0,Intelligent Systems,E,,x,
Advance Wars 2: Black Hole Rising,2003.0,Strategy,Nintendo,0.47,0.17,0.0,0.01,0.65,89.0,34.0,9.4,97.0,Intelligent Systems,E,,x,
Advent Rising,2005.0,Action,THQ,0.1,0.03,0.0,0.0,0.13,68.0,50.0,7.5,68.0,GlyphX Games,T,,x,
Adventure Time: The Secret of the Nameless Kingdom,2014.0,Action,Little Orbit,0.0,0.07,0.0,0.0,0.08,65.0,5.0,5.6,8.0,WayForward,E10+,,x,
Adventure Time: The Secret of the Nameless Kingdom,2014.0,Action,Little Orbit,0.0,0.05,0.0,0.0,0.06,58.0,5.0,7.5,4.0,WayForward,E10+,,x,
Aedis Eclipse: Generation of Chaos,2006.0,Role-Playing,Idea Factory,0.02,0.0,0.0,0.0,0.02,62.0,20.0,6.5,11.0,"Neverland, Idea Factory",E10+,,x,
Aegis of Earth: Protonovus Assault,2016.0,Action,PQube,0.02,0.0,0.0,0.0,0.03,57.0,11.0,7.8,9.0,Acquire,T,,x,
Aeon Flux,2005.0,Action,THQ,0.02,0.02,0.0,0.01,0.04,66.0,19.0,5.8,9.0,Terminal Reality,T,,x,
Aeon Flux,2005.0,Action,THQ,0.01,0.0,0.0,0.0,0.01,69.0,27.0,3.0,4.0,Terminal Reality,T,,x,
Aero Elite: Combat Academy,2002.0,Simulation,Sega,0.04,0.03,0.0,0.01,0.07,64.0,18.0,7.0,8.0,Sega AM2,E,,x,
Afrika,2008.0,Adventure,Unknown,0.12,0.0,0.08,0.01,0.22,63.0,12.0,6.2,34.0,Rhino Studios,E10+,,x,
Afro Samurai,2009.0,Action,Atari,0.16,0.05,0.0,0.02,0.24,65.0,70.0,6.2,57.0,"Namco Bandai Games America, Namco Bandai Games",M,,x,
Afro Samurai,2009.0,Action,Atari,0.12,0.05,0.0,0.03,0.2,65.0,52.0,6.1,27.0,"Namco Bandai Games America, Namco Bandai Games",M,,x,
A Game of Thrones: Genesis,2011.0,Strategy,Focus Home Interactive,0.0,0.03,0.0,0.01,0.03,53.0,40.0,4.0,110.0,Cyanide,N/A,,x,
Agatha Christie: And Then There Were None,2008.0,Adventure,The Adventure Company,0.06,0.01,0.0,0.01,0.07,50.0,23.0,6.2,12.0,AWE Games,T,,x,
Agatha Christie: Evil Under the Sun,2008.0,Adventure,The Adventure Company,0.06,0.01,0.0,0.01,0.08,46.0,6.0,7.3,6.0,AWE Games,T,,x,
Agatha Christie: The ABC Murders,2009.0,Adventure,JoWood Productions,0.08,0.01,0.0,0.01,0.1,53.0,11.0,6.5,4.0,Dreamcatcher,T,,x,
Agatha Christie: The ABC Murders,2016.0,Adventure,Microids,0.0,0.02,0.0,0.0,0.02,66.0,15.0,8.5,144.0,Artefacts Studio,N/A,,x,
Agatha Christie's The ABC Murders,2016.0,Adventure,Microids,0.01,0.01,0.0,0.0,0.03,67.0,17.0,6.2,12.0,Microids,T,,x,
Agatha Christie's The ABC Murders,2016.0,Adventure,Microids,0.01,0.0,0.0,0.0,0.01,66.0,7.0,7.5,8.0,Microids,N/A,,x,
Age of Conan: Rise of the Godslayer,2010.0,Role-Playing,Funcom,0.0,0.02,0.0,0.0,0.03,83.0,14.0,8.4,52.0,Funcom,M,,x,
Age of Empires: Mythologies,2008.0,Strategy,THQ,0.16,0.03,0.0,0.02,0.21,78.0,28.0,6.9,20.0,Griptonite Games,E10+,,x,
Age of Empires: The Age of Kings,2006.0,Strategy,THQ,0.18,0.02,0.0,0.02,0.22,80.0,38.0,7.9,59.0,Backbone Entertainment,E10+,,x,
Age of Empires II: The Age of Kings,1999.0,Strategy,Microsoft Game Studios,0.01,0.08,0.0,0.01,0.09,92.0,21.0,9.0,801.0,Ensemble Studios,T,,x,
Age of Empires III,2005.0,Strategy,Microsoft Game Studios,0.0,0.33,0.0,0.05,0.38,81.0,52.0,7.7,519.0,Ensemble Studios,T,,x,
Age of Empires III: The Asian Dynasties,2007.0,Strategy,Microsoft Game Studios,0.0,0.05,0.0,0.01,0.06,81.0,19.0,8.5,71.0,Big Huge Games,T,,x,
Age of Empires Online,2011.0,Strategy,Microsoft Game Studios,0.01,0.04,0.0,0.01,0.06,70.0,44.0,5.6,186.0,Gas Powered Games,E10+,,x,
Age of Mythology,2002.0,Strategy,Microsoft Game Studios,0.02,0.06,0.0,0.01,0.09,89.0,31.0,8.9,484.0,Ensemble Studios,T,,x,
Age of Mythology: The Titans,2003.0,Strategy,Microsoft Game Studios,0.02,0.02,0.0,0.0,0.04,84.0,25.0,8.7,119.0,Ensemble Studios,T,,x,
Aggressive Inline,2002.0,Sports,Acclaim Entertainment,0.17,0.13,0.0,0.04,0.35,85.0,31.0,8.7,14.0,"Z-Axis, Ltd.",T,,x,
Aggressive Inline,2002.0,Sports,Acclaim Entertainment,0.05,0.01,0.0,0.0,0.06,85.0,20.0,7.7,7.0,"Z-Axis, Ltd.",T,,x,
Aggressive Inline,2002.0,Sports,Acclaim Entertainment,0.04,0.01,0.0,0.0,0.06,88.0,16.0,7.8,5.0,"Z-Axis, Ltd.",T,,x,
Airblade,2001.0,Sports,Sony Computer Entertainment,0.11,0.09,0.0,0.03,0.23,70.0,18.0,5.8,12.0,Criterion Games,T,,x,
Airborne Troops: Countdown to D-Day,2005.0,Shooter,Playlogic Game Factory,0.06,0.05,0.0,0.02,0.12,39.0,4.0,8.1,9.0,WideScreen Games,T,,x,
Air Conflicts: Secret Wars,2011.0,Simulation,bitComposer Games,0.0,0.02,0.0,0.01,0.03,65.0,5.0,6.4,24.0,Games Farm,T,,x,
AirForce Delta Storm,2001.0,Shooter,Konami Digital Entertainment,0.14,0.04,0.0,0.01,0.18,61.0,21.0,7.1,7.0,KCE Studios,E,,x,
AirForce Delta Strike,2004.0,Simulation,Konami Digital Entertainment,0.05,0.04,0.0,0.01,0.11,66.0,22.0,7.0,6.0,KCE Studios,T,,x,
Airline Tycoon 2,2011.0,Simulation,Kalypso Media,0.0,0.04,0.0,0.01,0.05,57.0,4.0,5.5,30.0,Kalypso,E,,x,
Alan Wake,2010.0,Action,Microsoft Game Studios,0.66,0.5,0.05,0.13,1.33,83.0,100.0,8.1,1156.0,Remedy Entertainment,T,x,x,x
Alan Wake,2012.0,Action,Nordic Games,0.0,0.06,0.0,0.01,0.06,83.0,30.0,8.0,1473.0,Remedy Entertainment,T,x,x,x
Alias,2004.0,Action,Acclaim Entertainment,0.05,0.04,0.0,0.01,0.11,64.0,31.0,8.0,10.0,Acclaim Studios Cheltenham,T,,x,
Alias,2004.0,Action,Acclaim Entertainment,0.04,0.01,0.0,0.0,0.05,64.0,37.0,6.0,4.0,Acclaim Studios Cheltenham,T,,x,
Alice: Madness Returns,2011.0,Adventure,Electronic Arts,0.22,0.24,0.04,0.08,0.58,70.0,51.0,7.9,181.0,Spicy Horse,M,x,x,x
Alice: Madness Returns,2011.0,Adventure,Electronic Arts,0.27,0.14,0.04,0.04,0.5,70.0,67.0,8.1,157.0,Spicy Horse,M,x,x,x
Alice: Madness Returns,2011.0,Adventure,Electronic Arts,0.0,0.1,0.0,0.02,0.12,75.0,29.0,8.4,559.0,Spicy Horse,M,x,x,x
Alice in Wonderland,2010.0,Adventure,Disney Interactive Studios,0.25,0.21,0.0,0.05,0.51,69.0,18.0,7.4,13.0,Etranges Libellules,E10+,x,x,x
Alien: Isolation,2014.0,Shooter,Sega,0.34,0.57,0.04,0.17,1.13,79.0,50.0,8.1,795.0,Creative Assembly,M,x,x,
Alien: Isolation,2014.0,Shooter,Sega,0.22,0.24,0.0,0.04,0.51,78.0,24.0,7.8,314.0,Creative Assembly,M,x,x,
Alien: Isolation,2014.0,Shooter,Sega,0.0,0.14,0.0,0.01,0.14,81.0,41.0,8.4,1588.0,Creative Assembly,M,x,x,
Alien Hominid,2004.0,Shooter,Zoo Digital Publishing,0.05,0.04,0.0,0.01,0.1,78.0,47.0,8.3,13.0,The Behemoth,T,,x,
Alien Hominid,2004.0,Shooter,O3 Entertainment,0.07,0.02,0.0,0.0,0.09,78.0,28.0,8.5,15.0,The Behemoth,T,,x,
Alien Resurrection,2000.0,Shooter,Fox Interactive,0.09,0.06,0.0,0.01,0.16,61.0,12.0,7.5,15.0,Argonaut Games,M,,x,
Aliens: Colonial Marines,2013.0,Shooter,Sega,0.36,0.34,0.0,0.07,0.77,48.0,47.0,3.8,449.0,Gearbox Software,M,,x,
Aliens: Colonial Marines,2013.0,Shooter,Sega,0.2,0.29,0.0,0.11,0.6,43.0,25.0,3.6,295.0,Gearbox Software,M,,x,
Aliens: Colonial Marines,2013.0,Shooter,Sega,0.1,0.06,0.0,0.02,0.18,45.0,40.0,3.5,1156.0,Gearbox Software,M,,x,
Aliens: Infestation,2011.0,Action,Sega,0.09,0.05,0.0,0.02,0.16,76.0,43.0,8.2,29.0,"Gearbox Software, WayForward",T,,x,
Aliens in the Attic,2009.0,Action,Playlogic Game Factory,0.05,0.0,0.0,0.0,0.05,58.0,7.0,6.0,5.0,Engine Software,E10+,,x,
Aliens versus Predator: Extinction,2003.0,Strategy,Electronic Arts,0.09,0.07,0.0,0.02,0.19,66.0,17.0,8.4,30.0,Zono Inc.,T,,x,
Aliens versus Predator: Extinction,2003.0,Strategy,Electronic Arts,0.06,0.02,0.0,0.0,0.08,64.0,19.0,7.7,21.0,Zono Inc.,T,,x,
Aliens vs Predator,2010.0,Shooter,Sega,0.55,0.4,0.0,0.11,1.06,64.0,64.0,7.3,247.0,Rebellion,M,,x,
Aliens vs Predator,2010.0,Shooter,Sega,0.41,0.46,0.0,0.18,1.04,65.0,57.0,7.3,168.0,Rebellion,M,,x,
Aliens vs Predator,2010.0,Shooter,Sega,0.0,0.17,0.0,0.02,0.19,68.0,35.0,7.4,985.0,Rebellion,M,,x,
Aliens vs Predator: Requiem,2007.0,Action,Vivendi Games,0.03,0.12,0.0,0.07,0.22,49.0,34.0,5.6,19.0,Rebellion,T,,x,
Alien Syndrome,2007.0,Role-Playing,Sega,0.07,0.0,0.0,0.01,0.08,51.0,20.0,6.0,9.0,Totally Games,T,,x,
Alien Syndrome,2007.0,Role-Playing,Sega,0.05,0.0,0.0,0.0,0.06,48.0,24.0,7.1,23.0,Totally Games,T,,x,
All-Pro Football 2K8,2007.0,Sports,Take-Two Interactive,0.24,0.0,0.0,0.02,0.26,75.0,22.0,6.8,52.0,Visual Concepts,E10+,,x,
All-Pro Football 2K8,2007.0,Sports,Take-Two Interactive,0.14,0.0,0.0,0.01,0.15,73.0,23.0,7.3,21.0,Visual Concepts,E10+,,x,
All-Star Baseball 2002,2001.0,Sports,Acclaim Entertainment,0.27,0.21,0.0,0.07,0.56,77.0,16.0,7.6,8.0,Acclaim Studios Austin,E,,x,
All-Star Baseball 2002,2001.0,Sports,Acclaim Entertainment,0.17,0.04,0.0,0.01,0.22,66.0,17.0,5.6,9.0,Acclaim,E,,x,
All-Star Baseball 2003,2002.0,Sports,Acclaim Entertainment,0.38,0.29,0.0,0.1,0.77,81.0,15.0,8.4,17.0,Acclaim Studios Austin,E,,x,
All-Star Baseball 2003,2002.0,Sports,Acclaim Entertainment,0.19,0.06,0.0,0.01,0.26,79.0,15.0,8.1,7.0,Acclaim,E,,x,
All-Star Baseball 2003,2002.0,Sports,Acclaim Entertainment,0.12,0.03,0.0,0.0,0.15,83.0,16.0,8.0,6.0,Acclaim,E,,x,
All-Star Baseball 2004,2003.0,Sports,Acclaim Entertainment,0.21,0.16,0.0,0.05,0.42,78.0,19.0,7.5,11.0,Acclaim Studios Austin,E,,x,
All-Star Baseball 2004,2003.0,Sports,Acclaim Entertainment,0.1,0.03,0.0,0.0,0.13,74.0,20.0,8.4,7.0,Acclaim,E,,x,
All-Star Baseball 2004,2003.0,Sports,Acclaim Entertainment,0.06,0.02,0.0,0.0,0.08,80.0,14.0,9.2,5.0,Acclaim,E,,x,
Alone in the Dark,2008.0,Adventure,Atari,0.14,0.3,0.0,0.05,0.48,58.0,53.0,5.7,162.0,Eden Studios,M,x,x,
Alone in the Dark,2008.0,Adventure,Atari,0.09,0.08,0.0,0.02,0.18,39.0,10.0,4.4,34.0,Hydravision,M,x,x,
Alone in the Dark,2008.0,Adventure,Atari,0.03,0.02,0.0,0.01,0.06,47.0,10.0,5.4,24.0,Hydravision,M,x,x,
Alone in the Dark,2008.0,Adventure,Atari,0.0,0.01,0.0,0.0,0.01,55.0,19.0,5.7,148.0,Eden Studios,M,x,x,
Alone in the Dark: Inferno,2008.0,Adventure,Atari,0.09,0.03,0.0,0.02,0.13,69.0,25.0,5.6,50.0,Eden Studios,M,,x,
Alpha Protocol,2010.0,Role-Playing,Sega,0.19,0.17,0.0,0.07,0.43,64.0,49.0,6.9,117.0,Obsidian Entertainment,M,x,x,
Alpha Protocol,2010.0,Role-Playing,Sega,0.23,0.12,0.0,0.04,0.39,63.0,68.0,7.2,201.0,Obsidian Entertainment,M,x,x,
Alpha Protocol,2010.0,Role-Playing,Sega,0.0,0.03,0.0,0.01,0.03,72.0,25.0,7.5,511.0,Obsidian Entertainment,M,x,x,
Alter Echo,2003.0,Shooter,THQ,0.06,0.05,0.0,0.02,0.13,62.0,26.0,7.0,9.0,Outrage Games,T,,x,
Altered Beast: Guardian of the Realms,2002.0,Action,THQ,0.07,0.02,0.0,0.0,0.09,63.0,13.0,4.8,4.0,3d6 Games,T,,x,
Alter Ego,1985.0,Simulation,Activision,0.0,0.03,0.0,0.01,0.03,59.0,9.0,5.8,19.0,"Viva Media, Viva Media, LLC",T,,x,
Alundra,1997.0,Role-Playing,Psygnosis,0.13,0.09,0.0,0.01,0.23,86.0,9.0,9.0,41.0,Matrix Software,T,,x,
Alvin and the Chipmunks,2007.0,Misc,Brash Entertainment,0.04,0.03,0.0,0.01,0.07,33.0,5.0,4.5,6.0,Sensory Sweep,E,,x,
Alvin and the Chipmunks,2007.0,Misc,Eidos Interactive,0.05,0.0,0.0,0.0,0.05,30.0,4.0,3.6,20.0,Sensory Sweep,E,,x,
Amazing Island,2004.0,Strategy,Sega,0.04,0.01,0.0,0.0,0.06,59.0,22.0,6.6,7.0,Hitmaker,E,,x,
America's Army: Rise of a Soldier,2005.0,Shooter,Ubisoft,0.19,0.05,0.0,0.01,0.25,70.0,19.0,7.4,21.0,Secret Level,T,,x,
America's Army: True Soldiers,2007.0,Shooter,Ubisoft,0.08,0.0,0.0,0.01,0.08,43.0,11.0,6.7,55.0,Red Storm Entertainment,T,,x,
America's Test Kitchen: Let's Get Cooking,2010.0,Simulation,Nintendo,0.25,0.0,0.0,0.02,0.26,87.0,4.0,5.6,9.0,Indies Zero,E,,x,
American Chopper,2004.0,Racing,Zoo Digital Publishing,0.35,0.01,0.0,0.06,0.42,47.0,4.0,7.5,13.0,Creat Studios,T,,x,
American Chopper,2004.0,Racing,Zoo Digital Publishing,0.11,0.03,0.0,0.01,0.15,44.0,6.0,5.9,9.0,Creat Studios,T,,x,
American Idol,2003.0,Misc,Codemasters,0.27,0.21,0.0,0.07,0.55,41.0,14.0,4.8,12.0,Hothouse Creations,E,,x,
AMF Bowling 2004,2003.0,Sports,Mud Duck Productions,0.22,0.06,0.0,0.01,0.3,48.0,6.0,4.4,8.0,N/A,N/A,,x,
AMF Xtreme Bowling,2006.0,Sports,Mastertronic,0.01,0.01,0.0,0.0,0.02,30.0,4.0,4.2,5.0,"Atomic Planet Entertainment, Mud Duck Productions",E,,x,
Amped: Freestyle Snowboarding,2001.0,Sports,Microsoft Game Studios,0.69,0.11,0.0,0.02,0.82,78.0,30.0,9.0,20.0,Indie Built,E,,x,
Amped 2,2003.0,Sports,Microsoft Game Studios,0.2,0.04,0.0,0.01,0.25,80.0,34.0,7.7,20.0,Indie Built,E,,x,
Amped 3,2005.0,Sports,Take-Two Interactive,0.13,0.02,0.0,0.01,0.16,72.0,49.0,7.1,36.0,2K Sports,T,,x,
Amplitude,2003.0,Misc,Sony Computer Entertainment,0.09,0.07,0.0,0.02,0.18,86.0,35.0,8.8,26.0,Harmonix Music Systems,T,,x,
Anarchy Reigns,2012.0,Action,Sega,0.1,0.03,0.06,0.02,0.2,71.0,35.0,8.2,106.0,PlatinumGames,M,,x,
Anarchy Reigns,2012.0,Action,Sega,0.12,0.02,0.02,0.01,0.17,73.0,38.0,7.9,105.0,PlatinumGames,M,,x,
Angry Birds Star Wars,2013.0,Strategy,Activision,0.1,0.14,0.0,0.05,0.29,49.0,6.0,3.6,23.0,Exient Entertainment,E,,x,
Angry Birds Star Wars,2013.0,Strategy,Activision,0.16,0.1,0.0,0.02,0.28,59.0,3.0,5.6,25.0,Exient Entertainment,E,,x,
Angry Birds Star Wars,2013.0,Strategy,Activision,0.1,0.08,0.0,0.04,0.21,47.0,5.0,2.0,87.0,Exient Entertainment,E,,x,
Angry Birds Star Wars,2013.0,Strategy,Activision,0.11,0.04,0.0,0.02,0.16,53.0,4.0,6.9,63.0,Exient Entertainment,E,,x,
